ID,N,10,0	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
1	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
2	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
3	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
4	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
5	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro
6	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
7	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Moha	Moha	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Moha	Moha
8	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
9	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
10	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
11	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Maiz	Maiz	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
12	Sorgo Forrajero	Maiz	Maiz	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
13	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Maiz	Maiz	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
14	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
15	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
16	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Moha	Moha	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria
17	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
18	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
19	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
20	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
21	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
22	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
23	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
24	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Rastrojo	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	Achicoria	Achicoria	Achicoria
25	Sorgo Forrajero	Rastrojo	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
26	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
27	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Moha	Moha	TR+Cebadilla	TR+Cebadilla
28	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
29	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
30	Sorgo Forrajero	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
31	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
32	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
33	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Achicoria	Achicoria	Achicoria	Achicoria
34	Rastrojo	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Achicoria	Achicoria	Achicoria
35	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
36	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
37	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
38	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	FE+TB+L
39	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
40	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
41	Campo Natural	Campo Natural	Campo Natural	Campo Natural	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
42	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
43	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro
44	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
45	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
46	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
47	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro
48	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
49	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
50	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
51	Sorgo Forrajero	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
52	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
53	Rastrojo	Maiz	Maiz	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
54	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
55	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
56	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
57	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	TR+Cebadilla
58	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
59	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Sorgo Forrajero
60	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
61	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
62	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
63	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
64	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
65	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
66	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
67	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
68	Sorgo Forrajero	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
69	Sorgo Forrajero	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
70	Sorgo Forrajero	Moha	Moha	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
71	Sorgo Forrajero	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
72	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
73	Sorgo Forrajero	Moha	Moha	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	TR+Cebadilla
74	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Sorgo Forrajero	Sorgo Forrajero
75	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Moha	Moha	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
76	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
77	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Rastrojo
78	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
79	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
80	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	TR+Cebadilla
81	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
82	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
83	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
84	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
85	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Rastrojo	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
86	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro
87	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Maiz	Maiz	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp
88	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
89	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
90	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
91	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
92	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
93	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
94	Moha	Moha	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria
95	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Achicoria
96	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
97	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
98	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
99	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
100	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Sorgo Forrajero
101	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
102	Moha	Moha	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	TR+Cebadilla	TR+Cebadilla
103	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
104	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
105	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
106	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
107	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
108	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
109	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
110	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
111	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
112	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
113	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Achicoria	Achicoria
114	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
115	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
116	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
117	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
118	Campo Natural	Campo Natural	Campo Natural	Campo Natural	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
119	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
120	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
121	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
